word,gold,pred,context
AP,PROPN,NOUN,From the AP comes this
Appeals,PROPN,NOUN,"Court of Appeals , replacing"
israelians,PROPN,NOUN,and the israelians have all
Wall,PROPN,NOUN,"work on Wall Street ,"
Street,PROPN,NOUN,"on Wall Street , after"
territories,PROPN,NOUN,occupied Palestinian territories during the
world,PROPN,NOUN,( second world ) war
war,PROPN,NOUN,"world ) war , why"
Scholars,PROPN,NOUN,of Muslim Scholars .
Minister,PROPN,NOUN,Allawi and Minister of Defense
associate,ADJ,NOUN,term as associate judge of
associate,ADJ,NOUN,term as associate judge of
succesfull,ADJ,NOUN,wave of succesfull arab attacks
yound,ADJ,NOUN,arrested a yound newlywed bride
miniscule,ADJ,NOUN,the ( miniscule number of
evil,ADJ,NOUN,"n't be evil , """
freewheeling,ADJ,NOUN,quite as freewheeling an environment
fewest,ADJ,NOUN,for - fewest - features
fun,ADJ,NOUN,this new fun contest :
top,ADJ,NOUN,said the top three cartoons
Steffen,PROPN,VERB,", replacing Steffen W. Graae"
az,PROPN,VERB,according to az - Zaman
Charge,PROPN,VERB,' A Charge to Keep
Charge,PROPN,VERB,' A Charge to Keep
Charge,PROPN,VERB,""" A Charge to Keep"
Met,PROPN,VERB,of the Met Garage )
paulhastings.com,PROPN,VERB,name is paulhastings.com .
Kristen,PROPN,VERB,"Kristen Quinn ,"
amstel,PROPN,VERB,we have amstel lights together
outlook,PROPN,VERB,open my outlook ) .
***,PUNCT,SYM,***
<,PUNCT,SYM,"Spahnn "" < spahnn@hnks.com >"
>,PUNCT,SYM,< spahnn@hnks.com >
<,PUNCT,SYM,"George "" < gtownsend@manorisd.net >"
>,PUNCT,SYM,< gtownsend@manorisd.net >
********************************,PUNCT,SYM,******************************** NOTICE *************************************
*************************************,PUNCT,SYM,******************************** NOTICE *************************************
<<,PUNCT,SYM,- TEXT.htm << File :
>>,PUNCT,SYM,: TEXT.htm >>
<,PUNCT,SYM,"Vangie "" < Vangie.McGilloway@powersrc.com >"
sheikh,NOUN,PROPN,The sheikh in wheel
F,NOUN,PROPN,with a F - 16
Excerpt,NOUN,PROPN,Excerpt :
coalition,NOUN,PROPN,against the coalition soldiers in
jihad,NOUN,PROPN,"fighting and jihad "" ."
IPO,NOUN,PROPN,"Google 's IPO , most"
grace,NOUN,PROPN,by the grace of simplicity
prophet,NOUN,PROPN,"about our prophet , but"
prophet,NOUN,PROPN,"of their prophet , people"
court,NOUN,PROPN,outside federal court in Detroit
